Date,Flow,SSC
2013-03-12,14.1976411398558,899
2013-03-13,12.8657267015859,190
2013-03-14,7.28302150288011,74
2013-03-15,5.27098054294047,47
2013-03-16,4.22245215536629,39
2013-03-17,3.42897121341826,30
2013-03-18,2.89053771709639,27
2013-03-19,2.78285101783201,25
2013-03-20,2.41728301243453,21
2013-03-21,2.1735710088362,21
2013-03-22,1.96103147081441,16
2013-03-23,1.79950142191785,19
2013-03-24,1.69748244366739,21
2013-03-25,1.62946979150041,23
2013-03-26,1.55012169730561,30
2013-03-27,1.48777676615255,31
2013-03-28,1.44526885854819,40
2013-03-29,1.37442234587426,38
2013-03-30,1.34891760131165,52
2013-03-31,1.49627834767342,120
2013-04-01,2.07721975159966,120
2013-04-02,1.80800300343872,32
2013-04-03,1.63797137302129,20
2013-04-04,1.57279258136127,20
2013-04-05,1.59262960490997,22
2013-04-06,1.57562644186823,16
2013-04-07,1.56712486034735,25
2013-04-08,1.69748244366739,48
2013-04-09,2.61848710842849,111
2013-04-10,6.34784753558422,187
2013-04-11,7.59474615864541,86
2013-04-12,6.97129684711481,125
2013-04-13,6.37618614065379,55
2013-04-14,5.46935077842748,38
2013-04-15,4.53417681113159,31
2013-04-16,4.05242052494886,42
2013-04-17,4.19411355029672,35
2013-04-18,4.02408191987928,25
2013-04-19,4.47749960099244,103
2013-04-20,10.1735592199765,125
2013-04-21,6.82960382176695,42
2013-04-22,5.4410121733579,30
2013-04-23,4.53417681113159,22
2013-04-24,3.88238889453142,20
2013-04-25,3.31561679313997,21
2013-04-26,2.83386050695724,20
2013-04-27,2.55614217727543,14
2013-04-28,2.33226719722581,15
2013-04-29,2.1735710088362,12
2013-04-30,1.99220393639094,10
2013-05-01,1.80800300343872,10
2013-05-02,1.67481155961173,8
2013-05-03,1.55295555781257,7
2013-05-04,1.47077360311081,6
2013-05-05,1.38009006688818,6
2013-05-06,1.29790811218642,6
2013-05-07,1.22706159951249,5
2013-05-08,1.37442234587426,58
2013-05-09,1.28373880965163,7
2013-05-10,1.15621508683855,6
2013-05-11,1.49627834767342,33
2013-05-12,1.55295555781257,8
2013-05-13,1.41693025347862,6
2013-05-14,1.37725620638122,4
2013-05-15,1.35458532232556,4
2013-05-16,1.28090494914467,3
2013-05-17,1.193055273429,3
2013-05-18,1.12787648176898,3
2013-05-19,1.11937490024811,4
2013-05-20,1.1137071792342,4
2013-05-21,1.01452206149069,3
2013-05-22,1.00318661946286,4
2013-05-23,1.29790811218642,43
2013-05-24,2.49946496713629,33
2013-05-25,5.12928751759261,61
2013-05-26,6.40452474572337,22
2013-05-27,5.07261030745346,13
2013-05-28,4.19411355029672,11
2013-05-29,5.15762612266218,65
2013-05-30,7.84979360427156,33
2013-05-31,5.78107543419277,18
2013-06-01,4.53417681113159,15
2013-06-02,3.71235726411399,14
2013-06-03,3.03223074244425,10
2013-06-04,2.5249697116989,8
2013-06-05,2.16223556680838,7
2013-06-06,1.9355267262518,7
2013-06-07,2.94721492723553,61
2013-06-08,5.41267356828833,52
2013-06-09,4.08075913001843,16
2013-06-10,5.80941403926235,75
2013-06-11,16.1813434947259,170
2013-06-12,10.3719294554635,41
2013-06-13,11.9022141292204,82
2013-06-14,16.2096820997954,88
2013-06-15,10.5986382960201,35
2013-06-16,7.42471452822797,24
2013-06-17,5.55436659363619,25
2013-06-18,4.36414518071415,19
2013-06-19,3.45730981848783,15
2013-06-20,2.81969120442246,14
2013-06-21,2.38044282584408,11
2013-06-22,2.04888114653009,11
2013-06-23,1.80800300343872,9
2013-06-24,1.58696188389606,8
2013-06-25,1.38859164840905,7
2013-06-26,1.25540020458206,6
2013-06-27,1.22422773900553,36
2013-06-28,3.20226237286168,114
2013-06-29,1.65214067555607,10
2013-06-30,1.47077360311081,10
2013-07-01,2.0942229146414,57
2013-07-02,3.25893958300083,33
2013-07-03,2.78851873884593,17
2013-07-04,2.36343966280234,12
2013-07-05,2.02904412298138,12
2013-07-06,1.80516914293176,8
2013-07-07,1.5841280233891,7
2013-07-08,1.524616952743,16
2013-07-09,1.48210904513864,9
